genre,price,pos_reviews
Action,0,73.51
Video Production,0,81.77
Audio Production,0,93.0
Casual,0,76.48
Design & Illustration,0,85.11
Utilities,0,81.48
Early Access,0,73.37
Strategy,0,73.56
Free to Play,0,76.89
Game Development,0,80.4
Gore,0,73.5
Indie,0,75.75
Massively Multiplayer,0,69.76
Nudity,0,52.0
Photo Editing,0,95.0
Sports,0,76.4
RPG,0,74.82
Software Training,0,82.0
Racing,0,73.54
Simulation,0,75.15
Animation & Modeling,0,83.5
Violent,0,73.0
Education,0,77.5
Web Publishing,0,84.75
Adventure,0,74.74
Violent,5,67.83
Indie,5,75.66
Utilities,5,79.95
RPG,5,73.33
Adventure,5,74.02
Gore,5,66.6
Photo Editing,5,87.0
Software Training,5,90.0
Casual,5,77.72
Early Access,5,70.56
Nudity,5,84.0
Racing,5,72.92
Sports,5,69.38
Design & Illustration,5,72.4
Simulation,5,73.23
Audio Production,5,85.67
Free to Play,5,57.0
Action,5,74.57
Sexual Content,5,81.0
Video Production,5,83.0
Massively Multiplayer,5,66.95
Education,5,90.0
Strategy,5,74.98
Animation & Modeling,5,74.0
Web Publishing,10,83.67
Photo Editing,10,94.0
Strategy,10,81.73
Early Access,10,82.64
Massively Multiplayer,10,73.88
Design & Illustration,10,83.67
Sports,10,80.25
Violent,10,53.5
Nudity,10,61.0
Indie,10,82.02
Adventure,10,80.25
Game Development,10,86.0
Video Production,10,77.25
Racing,10,77.52
Action,10,82.02
Audio Production,10,76.0
Casual,10,82.78
Animation & Modeling,10,94.0
Gore,10,46.0
RPG,10,80.5
Simulation,10,81.81
Utilities,10,78.5
Animation & Modeling,15,85.33
Sexual Content,15,80.0
Free to Play,15,68.0
Indie,15,85.23
Video Production,15,85.33
Simulation,15,83.71
Design & Illustration,15,82.67
Strategy,15,84.27
Massively Multiplayer,15,77.6
Sports,15,81.94
Racing,15,82.38
Early Access,15,86.77
Action,15,83.76
Adventure,15,84.7
Casual,15,85.34
RPG,15,83.13
Utilities,15,82.0
Audio Production,15,93.0
Web Publishing,15,95.0
Indie,20,84.69
Game Development,20,85.5
Massively Multiplayer,20,76.89
RPG,20,82.88
Software Training,20,72.0
Racing,20,82.68
Sports,20,83.72
Action,20,83.84
Simulation,20,83.28
Adventure,20,84.27
Early Access,20,85.67
Casual,20,83.54
Design & Illustration,20,85.5
Free to Play,20,75.33
Animation & Modeling,20,85.5
Utilities,20,71.0
Education,20,72.0
Strategy,20,82.34
Utilities,25,69.0
Simulation,25,84.14
Action,25,84.29
Web Publishing,25,81.0
Software Training,25,69.0
Casual,25,88.12
Racing,25,83.0
RPG,25,85.27
Adventure,25,84.17
Audio Production,25,69.0
Indie,25,86.23
Video Production,25,69.0
Massively Multiplayer,25,78.5
Strategy,25,85.58
Early Access,25,85.0
Sports,25,86.67
Early Access,30,82.72
Indie,30,83.3
Utilities,30,80.67
Video Production,30,85.0
Sports,30,81.24
Software Training,30,85.0
Racing,30,79.29
RPG,30,77.18
Casual,30,88.19
Web Publishing,30,85.0
Education,30,85.0
Simulation,30,80.64
Massively Multiplayer,30,70.3
Action,30,80.56
Audio Production,30,85.0
Adventure,30,81.46
Strategy,30,79.21
Simulation,35,82.21
Racing,35,93.0
Adventure,35,87.69
Utilities,35,89.0
RPG,35,81.17
Casual,35,98.5
Strategy,35,82.5
Action,35,79.0
Early Access,35,80.0
Massively Multiplayer,35,70.67
Sports,35,84.0
Indie,35,83.45
Simulation,40,80.3
Software Training,40,100.0
Strategy,40,77.81
Utilities,40,100.0
Sports,40,81.18
Massively Multiplayer,40,77.18
Adventure,40,81.3
Racing,40,75.71
Game Development,40,100.0
Indie,40,85.11
Audio Production,40,100.0
Casual,40,79.4
Early Access,40,88.0
RPG,40,78.46
Action,40,78.68
Design & Illustration,40,100.0
Sports,45,80.0
Indie,45,77.0
Early Access,45,80.0
Strategy,45,85.43
Massively Multiplayer,45,68.0
Adventure,45,85.33
RPG,45,85.5
Casual,45,89.25
Simulation,45,85.75
Action,45,76.78
Design & Illustration,50,83.0
Strategy,50,74.14
Early Access,50,70.0
Action,50,82.4
Utilities,50,83.0
Animation & Modeling,50,83.0
Adventure,50,80.67
Casual,50,84.0
Education,50,83.0
RPG,50,82.0
Web Publishing,50,83.0
Racing,50,73.25
Sports,50,76.56
Indie,50,74.6
Simulation,50,73.79
Software Training,50,83.0
Massively Multiplayer,50,83.5
Sports,55,92.0
Simulation,55,92.0
Audio Production,60,81.0
Simulation,60,71.56
Animation & Modeling,60,81.0
Action,60,77.78
Adventure,60,79.31
Video Production,60,82.0
Utilities,60,82.0
RPG,60,83.25
Racing,60,75.29
Casual,60,40.33
Software Training,60,81.0
Photo Editing,60,79.0
Strategy,60,79.93
Design & Illustration,60,81.0
Indie,60,75.0
Early Access,60,88.0
Education,60,81.0
Sports,60,63.0
Web Publishing,70,94.0
Action,70,71.0
Design & Illustration,70,94.0
Racing,70,82.0
Adventure,70,71.0
Sports,70,82.0
Action,80,93.0
Design & Illustration,80,82.0
Animation & Modeling,80,80.33
Utilities,80,80.0
Audio Production,80,80.5
Software Training,80,80.5
Photo Editing,80,80.5
RPG,80,78.0
Video Production,80,80.33
Web Publishing,80,84.5
