genre,price,count,pos_reviews
Action,0,666,73.51
Casual,0,655,76.48
Video Production,0,13,81.77
Design & Illustration,0,9,85.11
Early Access,0,114,73.37
Utilities,0,29,81.48
Education,0,2,77.5
Free to Play,0,623,76.89
Game Development,0,5,80.4
Audio Production,0,4,93.0
Gore,0,2,73.5
Massively Multiplayer,0,205,69.76
Strategy,0,318,73.56
Nudity,0,1,52.0
Photo Editing,0,2,95.0
RPG,0,290,74.82
Racing,0,57,73.54
Sports,0,77,76.4
Simulation,0,302,75.15
Indie,0,1001,75.75
Animation & Modeling,0,14,83.5
Software Training,0,3,82.0
Violent,0,3,73.0
Adventure,0,449,74.74
Web Publishing,0,4,84.75
Early Access,5,43,70.56
Utilities,5,22,79.95
Education,5,2,90.0
Adventure,5,262,74.02
Software Training,5,2,90.0
Gore,5,5,66.6
Design & Illustration,5,10,72.4
Massively Multiplayer,5,20,66.95
Nudity,5,1,84.0
Photo Editing,5,2,87.0
RPG,5,108,73.33
Racing,5,40,72.92
Sports,5,21,69.38
Sexual Content,5,2,81.0
Action,5,309,74.57
Simulation,5,134,73.23
Strategy,5,150,74.98
Video Production,5,2,83.0
Indie,5,516,75.66
Free to Play,5,5,57.0
Casual,5,282,77.72
Audio Production,5,3,85.67
Animation & Modeling,5,9,74.0
Violent,5,6,67.83
Game Development,10,1,86.0
Video Production,10,4,77.25
Web Publishing,10,3,83.67
Indie,10,371,82.02
Action,10,311,82.02
Animation & Modeling,10,1,94.0
Casual,10,166,82.78
Adventure,10,232,80.25
Strategy,10,143,81.73
Utilities,10,10,78.5
Gore,10,1,46.0
Violent,10,2,53.5
RPG,10,111,80.5
Racing,10,23,77.52
Photo Editing,10,1,94.0
Nudity,10,1,61.0
Design & Illustration,10,3,83.67
Audio Production,10,1,76.0
Simulation,10,154,81.81
Sports,10,20,80.25
Early Access,10,28,82.64
Massively Multiplayer,10,8,73.88
Indie,15,329,85.23
Racing,15,21,82.38
Audio Production,15,2,93.0
Sports,15,17,81.94
Massively Multiplayer,15,5,77.6
Strategy,15,118,84.27
Action,15,223,83.76
Web Publishing,15,1,95.0
Video Production,15,3,85.33
RPG,15,111,83.13
Early Access,15,53,86.77
Free to Play,15,2,68.0
Sexual Content,15,1,80.0
Simulation,15,110,83.71
Utilities,15,5,82.0
Design & Illustration,15,3,82.67
Animation & Modeling,15,3,85.33
Casual,15,100,85.34
Adventure,15,194,84.7
Utilities,20,3,71.0
Sports,20,25,83.72
Simulation,20,174,83.28
RPG,20,150,82.88
Action,20,365,83.84
Software Training,20,1,72.0
Design & Illustration,20,2,85.5
Adventure,20,301,84.27
